,input_wages,input_period,input_year,input_is_pension_age,expected_country,expected_yearly_ni_employee,expected_yearly_ni_employer,expected_yearly_income_tax,expected_yearly_total_deduction,expected_yearly_take_home,expected_yearly_wages,expected_yearly_tax_free_amount,expected_yearly_k_code_adjustment,expected_is_k_code
1257L,20000,YEARLY,TWENTY_TWENTY_SIX,FALSE,ENGLAND,594.4,1504.2,1484.2,2078.6,17921.4,20000,12570,,FALSE
1257L,40000,YEARLY,TWENTY_TWENTY_SIX,FALSE,ENGLAND,2194.4,4264.2,5484.2,7678.6,32321.4,40000,12570,,FALSE
1257L,60000,YEARLY,TWENTY_TWENTY_SIX,FALSE,ENGLAND,3210.6,7024.2,11428.4,14639,45361,60000,12570,,FALSE
1257L,80000,YEARLY,TWENTY_TWENTY_SIX,FALSE,ENGLAND,3610.6,9784.2,19428.4,23039,56961,80000,12570,,FALSE
0T,150000,YEARLY,TWENTY_TWENTY_SIX,FALSE,ENGLAND,5010.6,19444.2,53703,58713.6,91286.4,150000,0,,FALSE
C1257L,20000,YEARLY,TWENTY_TWENTY_SIX,FALSE,WALES,594.4,1504.2,1484.2,2078.6,17921.4,20000,12570,,FALSE
C1257L,40000,YEARLY,TWENTY_TWENTY_SIX,FALSE,WALES,2194.4,4264.2,5484.2,7678.6,32321.4,40000,12570,,FALSE
C1257L,60000,YEARLY,TWENTY_TWENTY_SIX,FALSE,WALES,3210.6,7024.2,11428.4,14639,45361,60000,12570,,FALSE
C1257L,80000,YEARLY,TWENTY_TWENTY_SIX,FALSE,WALES,3610.6,9784.2,19428.4,23039,56961,80000,12570,,FALSE
C0T,150000,YEARLY,TWENTY_TWENTY_SIX,FALSE,WALES,5010.6,19444.2,53703,58713.6,91286.4,150000,0,,FALSE
S1257L,20000,YEARLY,TWENTY_TWENTY_SIX,FALSE,SCOTLAND,594.4,1504.2,1444.53,2038.93,17961.07,20000,12570,,FALSE
S1257L,40000,YEARLY,TWENTY_TWENTY_SIX,FALSE,SCOTLAND,2194.4,4264.2,5549.18,7743.58,32256.42,40000,12570,,FALSE
S1257L,60000,YEARLY,TWENTY_TWENTY_SIX,FALSE,SCOTLAND,3210.6,7024.2,13178.27,16388.87,43611.13,60000,12570,,FALSE
S1257L,80000,YEARLY,TWENTY_TWENTY_SIX,FALSE,SCOTLAND,3610.6,9784.2,21728,25338.6,54661.4,80000,12570,,FALSE
S0T,150000,YEARLY,TWENTY_TWENTY_SIX,FALSE,SCOTLAND,5010.6,19444.2,59634.35,64644.95,85355.05,150000,0,,FALSE
