,input_wages,input_period,input_year,input_is_pension_age,expected_country,expected_yearly_ni_employee,expected_yearly_ni_employer,expected_yearly_income_tax,expected_yearly_total_deduction,expected_yearly_take_home,expected_yearly_wages,expected_yearly_tax_free_amount,expected_yearly_k_code_adjustment,expected_is_k_code
1257L,20000,YEARLY,TWENTY_TWENTY_FOUR,FALSE,ENGLAND,594.40,1504.2,1484.2,2078.60,17921.40,20000,12570,,FALSE
1257L,40000,YEARLY,TWENTY_TWENTY_FOUR,FALSE,ENGLAND,2194.40,4264.2,5484.2,7678.60,32321.40,40000,12570,,FALSE
1257L,60000,YEARLY,TWENTY_TWENTY_FOUR,FALSE,ENGLAND,3210.60,7024.2,11428.4,14639.00,45361.00,60000,12570,,FALSE
1257L,80000,YEARLY,TWENTY_TWENTY_FOUR,FALSE,ENGLAND,3610.60,9784.2,19428.4,23039.00,56961.00,80000,12570,,FALSE
C1257L,20000,YEARLY,TWENTY_TWENTY_FOUR,FALSE,WALES,594.40,1504.2,1484.2,2078.60,17921.40,20000,12570,,FALSE
C1257L,40000,YEARLY,TWENTY_TWENTY_FOUR,FALSE,WALES,2194.40,4264.2,5484.2,7678.60,32321.40,40000,12570,,FALSE
C1257L,60000,YEARLY,TWENTY_TWENTY_FOUR,FALSE,WALES,3210.60,7024.2,11428.4,14639.00,45361.00,60000,12570,,FALSE
C1257L,80000,YEARLY,TWENTY_TWENTY_FOUR,FALSE,WALES,3610.60,9784.2,19428.4,23039.00,56961.00,80000,12570,,FALSE
S1257L,20000,YEARLY,TWENTY_TWENTY_FOUR,FALSE,SCOTLAND,594.40,1504.2,1461.14,2055.54,17944.46,20000,12570,,FALSE
S1257L,40000,YEARLY,TWENTY_TWENTY_FOUR,FALSE,SCOTLAND,2194.40,4264.2,5595.44,7789.84,32210.16,40000,12570,,FALSE
S1257L,60000,YEARLY,TWENTY_TWENTY_FOUR,FALSE,SCOTLAND,3210.60,7024.2,13224.53,16435.13,43564.87,60000,12570,,FALSE
S1257L,80000,YEARLY,TWENTY_TWENTY_FOUR,FALSE,SCOTLAND,3610.60,9784.2,21774.26,25384.86,54615.14,80000,12570,,FALSE
S1257L,150000,YEARLY,TWENTY_TWENTY_FOUR,FALSE,SCOTLAND,5010.60,19444.2,53642.69,58653.29,91346.71,150000,12570,,FALSE
