,input_wages,input_period,input_year,input_is_pension_age,expected_country,expected_yearly_ni_employee,expected_yearly_ni_employer,expected_yearly_income_tax,expected_yearly_total_deduction,expected_yearly_take_home,expected_yearly_wages,expected_yearly_tax_free_amount,expected_yearly_k_code_adjustment,expected_is_k_code
1257L,20000,YEARLY,2022,FALSE,ENGLAND,1340.9,1640.45,1484.2,2825.1,17174.9,20000,12570,,FALSE
1257L,40000,YEARLY,2022,FALSE,ENGLAND,3990.9,4650.45,5484.2,9475.1,30524.9,40000,12570,,FALSE
1257L,60000,YEARLY,2022,FALSE,ENGLAND,5667.9,7660.45,11428.4,17096.3,42903.7,60000,12570,,FALSE
1257L,200000,YEARLY,2022,FALSE,ENGLAND,10217.9,28730.45,69299.45,79517.35,120482.65,200000,12570,,FALSE
C1257L,20000,YEARLY,2022,FALSE,WALES,1340.9,1640.45,1484.2,2825.1,17174.9,20000,12570,,FALSE
C1257L,40000,YEARLY,2022,FALSE,WALES,3990.9,4650.45,5484.2,9475.1,30524.9,40000,12570,,FALSE
C1257L,60000,YEARLY,2022,FALSE,WALES,5667.9,7660.45,11428.4,17096.3,42903.7,60000,12570,,FALSE
C1257L,200000,YEARLY,2022,FALSE,WALES,10217.9,28730.45,69299.45,79517.35,120482.65,200000,12570,,FALSE
S1257L,20000,YEARLY,2022,FALSE,SCOTLAND,1340.9,1640.45,1462.58,2803.48,17196.52,20000,12570,,FALSE
S1257L,40000,YEARLY,2022,FALSE,SCOTLAND,3990.9,4650.45,5605.61,9596.51,30403.49,40000,12570,,FALSE
S1257L,60000,YEARLY,2022,FALSE,SCOTLAND,5667.9,7660.45,13071.41,18739.31,41260.69,60000,12570,,FALSE
S1257L,80000,YEARLY,2022,FALSE,SCOTLAND,6317.9,10670.45,21271.41,27589.31,52410.69,80000,12570,,FALSE
S1257L,150000,YEARLY,2022,FALSE,SCOTLAND,8592.9,21205.45,49971.41,58564.31,91435.69,150000,12570,,FALSE
