,input_wages,input_period,input_year,input_is_pension_age,input_has_plan_one,input_has_plan_two,input_has_plan_four,input_has_postgraduate_plan,expected_country,expected_yearly_ni_employee,expected_yearly_ni_employer,expected_yearly_income_tax,expected_yearly_total_deduction,expected_yearly_take_home,expected_yearly_wages,expected_yearly_tax_free_amount,expected_yearly_k_code_adjustment,expected_is_k_code
1257L,20000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,TRUE,FALSE,FALSE,FALSE,ENGLAND,594.4,1504.2,1484.2,2078.6,17921.4,20000,12570,,FALSE
1257L,40000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,TRUE,FALSE,FALSE,FALSE,ENGLAND,2194.4,4264.2,5484.2,8932.6,31067.4,40000,12570,,FALSE
1257L,60000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,TRUE,FALSE,FALSE,FALSE,ENGLAND,3210.6,7024.2,11428.4,17693,42307,60000,12570,,FALSE
1257L,80000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,TRUE,FALSE,FALSE,FALSE,ENGLAND,3610.6,9784.2,19428.4,27893,52107,80000,12570,,FALSE
0T,130000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,TRUE,FALSE,FALSE,FALSE,ENGLAND,4610.6,16684.2,44703,58667.6,71332.4,130000,0,,FALSE
1257L,20000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,FALSE,TRUE,FALSE,FALSE,ENGLAND,594.4,1504.2,1484.2,2078.6,17921.4,20000,12570,,FALSE
1257L,40000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,FALSE,TRUE,FALSE,FALSE,ENGLAND,2194.4,4264.2,5484.2,8715.6,31284.4,40000,12570,,FALSE
1257L,60000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,FALSE,TRUE,FALSE,FALSE,ENGLAND,3210.6,7024.2,11428.4,17476,42524,60000,12570,,FALSE
1257L,80000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,FALSE,TRUE,FALSE,FALSE,ENGLAND,3610.6,9784.2,19428.4,27676,52324,80000,12570,,FALSE
0T,130000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,FALSE,TRUE,FALSE,FALSE,ENGLAND,4610.6,16684.2,44703,58450.6,71549.4,130000,0,,FALSE
1257L,20000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,FALSE,FALSE,TRUE,FALSE,ENGLAND,594.4,1504.2,1484.2,2078.6,17921.4,20000,12570,,FALSE
1257L,40000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,FALSE,FALSE,TRUE,FALSE,ENGLAND,2194.4,4264.2,5484.2,8330.6,31669.4,40000,12570,,FALSE
1257L,60000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,FALSE,FALSE,TRUE,FALSE,ENGLAND,3210.6,7024.2,11428.4,17091,42909,60000,12570,,FALSE
1257L,80000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,FALSE,FALSE,TRUE,FALSE,ENGLAND,3610.6,9784.2,19428.4,27291,52709,80000,12570,,FALSE
0T,130000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,FALSE,FALSE,TRUE,FALSE,ENGLAND,4610.6,16684.2,44703,58065.6,71934.4,130000,0,,FALSE
1257L,20000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,FALSE,FALSE,FALSE,TRUE,ENGLAND,594.4,1504.2,1484.2,2078.6,17921.4,20000,12570,,FALSE
1257L,40000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,FALSE,FALSE,FALSE,TRUE,ENGLAND,2194.4,4264.2,5484.2,8818.6,31181.4,40000,12570,,FALSE
1257L,60000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,FALSE,FALSE,FALSE,TRUE,ENGLAND,3210.6,7024.2,11428.4,16979,43021,60000,12570,,FALSE
1257L,80000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,FALSE,FALSE,FALSE,TRUE,ENGLAND,3610.6,9784.2,19428.4,26579,53421,80000,12570,,FALSE
0T,130000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,FALSE,FALSE,FALSE,TRUE,ENGLAND,4610.6,16684.2,44703,55853.6,74146.4,130000,0,,FALSE
