,input_wages,input_period,input_year,input_is_pension_age,expected_country,expected_yearly_ni_employee,expected_yearly_ni_employer,expected_yearly_income_tax,expected_yearly_total_deduction,expected_yearly_take_home,expected_yearly_wages,expected_yearly_tax_free_amount,expected_yearly_k_code_adjustment,expected_is_k_code
1257L,20000,YEARLY,TWENTY_TWENTY_THREE,FALSE,ENGLAND,891.6,1504.2,1484.2,2375.8,17624.2,20000,12570,,FALSE
1257L,40000,YEARLY,TWENTY_TWENTY_THREE,FALSE,ENGLAND,3291.6,4264.20,5484.2,8775.8,31224.2,40000,12570,,FALSE
1257L,60000,YEARLY,TWENTY_TWENTY_THREE,FALSE,ENGLAND,4718.6,7024.2,11428.4,16147.0,43853.0,60000,12570,,FALSE
1257L,80000,YEARLY,TWENTY_TWENTY_THREE,FALSE,ENGLAND,5118.6,9784.2,19428.4,24547.0,55453.0,80000,12570,,FALSE
0T,130000,YEARLY,TWENTY_TWENTY_THREE,FALSE,ENGLAND,6118.6,16684.2,44703.0,50821.6,79178.4,130000,0,,FALSE
C1257L,20000,YEARLY,TWENTY_TWENTY_THREE,FALSE,WALES,891.6,1504.2,1484.2,2375.8,17624.2,20000,12570,,FALSE
C1257L,40000,YEARLY,TWENTY_TWENTY_THREE,FALSE,WALES,3291.6,4264.20,5484.2,8775.8,31224.2,40000,12570,,FALSE
C1257L,60000,YEARLY,TWENTY_TWENTY_THREE,FALSE,WALES,4718.6,7024.2,11428.4,16147.0,43853.0,60000,12570,,FALSE
C1257L,80000,YEARLY,TWENTY_TWENTY_THREE,FALSE,WALES,5118.6,9784.2,19428.4,24547.0,55453.0,80000,12570,,FALSE
C0T,130000,YEARLY,TWENTY_TWENTY_THREE,FALSE,WALES,6118.6,16684.2,44703.0,50821.6,79178.4,130000,0,,FALSE
S1257L,20000,YEARLY,TWENTY_TWENTY_THREE,FALSE,SCOTLAND,891.6,1504.2,1462.58,2354.18,17645.82,20000,12570,,FALSE
S1257L,40000,YEARLY,TWENTY_TWENTY_THREE,FALSE,SCOTLAND,3291.6,4264.20,5605.61,8897.21,31102.79,40000,12570,,FALSE
S1257L,60000,YEARLY,TWENTY_TWENTY_THREE,FALSE,SCOTLAND,4718.6,7024.2,13234.7,17953.3,42046.7,60000,12570,,FALSE
S1257L,80000,YEARLY,TWENTY_TWENTY_THREE,FALSE,SCOTLAND,5118.6,9784.2,21634.7,26753.3,53246.7,80000,12570,,FALSE
S0T,150000,YEARLY,TWENTY_TWENTY_THREE,FALSE,SCOTLAND,6518.6,19444.2,57560.88,64079.48,85920.52,150000,0,,FALSE
