,input_wages,input_period,input_year,input_is_pension_age,input_pension_method,input_pension_amount,expected_country,expected_yearly_ni_employee,expected_yearly_ni_employer,expected_yearly_income_tax,expected_yearly_total_deduction,expected_yearly_take_home,expected_yearly_wages,expected_yearly_tax_free_amount,expected_yearly_k_code_adjustment,expected_is_k_code
1257L,20000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,PERCENTAGE,10.0,ENGLAND,594.4,1504.2,1084.2,3678.6,16321.4,20000,12570,,FALSE
1257L,40000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,PERCENTAGE,10.0,ENGLAND,2194.4,4264.2,4684.2,10878.6,29121.4,40000,12570,,FALSE
1257L,60000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,PERCENTAGE,10.0,ENGLAND,3210.6,7024.2,9028.4,18239.0,41761.0,60000,12570,,FALSE
1257L,80000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,PERCENTAGE,10.0,ENGLAND,3610.6,9784.2,16228.4,27839.0,52161.0,80000,12570,,FALSE
0T,130000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,PERCENTAGE,10.0,ENGLAND,4610.6,16684.2,39260.0,56870.6,73129.4,130000,0,,FALSE
1257L,20000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,MONTHLY_AMOUNT_IN_POUNDS,166.67,ENGLAND,594.4,1504.2,1084.19,3678.63,16321.37,20000,12570,,FALSE
1257L,40000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,MONTHLY_AMOUNT_IN_POUNDS,333.33,ENGLAND,2194.4,4264.2,4684.21,10878.57,29121.43,40000,12570,,FALSE
1257L,60000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,MONTHLY_AMOUNT_IN_POUNDS,500.0,ENGLAND,3210.6,7024.2,9028.4,18239.0,41761.0,60000,12570,,FALSE
1257L,80000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,MONTHLY_AMOUNT_IN_POUNDS,666.67,ENGLAND,3610.6,9784.2,16228.38,27839.02,52160.98,80000,12570,,FALSE
0T,130000,YEARLY,TWENTY_TWENTY_FIVE,FALSE,MONTHLY_AMOUNT_IN_POUNDS,1083.33,ENGLAND,4610.6,16684.2,39260.02,56870.58,73129.42,130000,0,,FALSE
